,importance
exp_rank,0.58828795
n_skills,0.17809244
edu_rank,0.1171343
direction_NLP/大模型,0.06323646
direction_通用算法/机器学习,0.053248834
city_tier_Other,0.0
has_LangChain,0.0
has_Agent,0.0
has_RAG,0.0
has_C++,0.0
has_CUDA,0.0
has_vLLM,0.0
has_Transformers,0.0
has_Diffusers,0.0
has_LoRA,0.0
