model,task,downloads,likes,last_modified,library,license,tags,arxiv
John6666/hassaku-xl-illustrious-v31-sdxl,text-to-image,55878,2,2025-10-06T10:48:58.000Z,diffusers,license:other,diffusers|safetensors|text-to-image|stable-diffusion|stable-diffusion-xl|anime|hentai|characters|woman|girls|bright and distinct anime style|artists|LoRA friendly|merge|Illustrious XL v1.0|Illustrious XL v2.0|illustrious|en|base_model:OnomaAIResearch/Illustrious-XL-v1.0|base_model:merge:OnomaAIResearch/Illustrious-XL-v1.0|base_model:OnomaAIResearch/Illustrious-XL-v2.0|base_model:merge:OnomaAIResearch/Illustrious-XL-v2.0|license:other|endpoints_compatible|diffusers:StableDiffusionXLPipeline|region:us,False
Tencent-Hunyuan/HunyuanDiT-v1.1-Diffusers-Distilled,text-to-image,55564,16,2024-06-14T09:16:20.000Z,diffusers,license:other,diffusers|safetensors|en|arxiv:2405.08748|license:other|diffusers:HunyuanDiTPipeline|region:us,True
thibaud/controlnet-openpose-sdxl-1.0,text-to-image,54890,419,2023-09-03T13:44:20.000Z,diffusers,license:other,diffusers|stable-diffusion-xl|stable-diffusion-xl-diffusers|text-to-image|controlnet|base_model:stabilityai/stable-diffusion-xl-base-1.0|base_model:adapter:stabilityai/stable-diffusion-xl-base-1.0|license:other|region:us,False
purplesmartai/pony-v7-base,text-to-image,54844,94,2025-10-26T07:50:17.000Z,diffusers,license:other,diffusers|safetensors|gguf|license:other|diffusers:AuraFlowPipeline|region:us,False
ByteDance/SDXL-Lightning,text-to-image,54028,2168,2024-04-03T15:59:08.000Z,diffusers,license:openrail++,diffusers|text-to-image|stable-diffusion|arxiv:2402.13929|license:openrail++|region:us,True
fancyfeast/bigaspv2-5,text-to-image,53697,46,2026-02-12T21:14:35.000Z,diffusers,,diffusers|safetensors|base_model:stabilityai/stable-diffusion-xl-base-1.0|base_model:finetune:stabilityai/stable-diffusion-xl-base-1.0|endpoints_compatible|diffusers:StableDiffusionXLPipeline|region:us,False
cyberdelia/CyberRealistic,text-to-image,53037,86,2026-04-22T08:10:21.000Z,diffusers,license:creativeml-openrail-m,diffusers|stable-diffusion|sd-1.5|text-to-image|photorealistic|cyberrealistic|image-generation|license:creativeml-openrail-m|region:us,False
ByteDance/Hyper-SD,text-to-image,51868,1344,2024-12-05T09:02:21.000Z,diffusers,,diffusers|lora|text-to-image|stable-diffusion|flux|arxiv:2404.13686|base_model:black-forest-labs/FLUX.1-dev|base_model:adapter:black-forest-labs/FLUX.1-dev|region:us,True
HiDream-ai/HiDream-I1-Fast,text-to-image,51789,106,2025-06-16T16:18:12.000Z,diffusers,license:mit,diffusers|safetensors|image-generation|HiDream.ai|text-to-image|en|arxiv:2505.22705|license:mit|diffusers:HiDreamImagePipeline|region:us,True
city96/FLUX.1-schnell-gguf,text-to-image,51318,339,2024-08-18T08:13:37.000Z,gguf,license:apache-2.0,gguf|text-to-image|image-generation|flux|base_model:black-forest-labs/FLUX.1-schnell|base_model:quantized:black-forest-labs/FLUX.1-schnell|license:apache-2.0|region:us,False
unsloth/Z-Image-Turbo-GGUF,text-to-image,49051,226,2026-01-08T02:11:45.000Z,ggml,license:apache-2.0,ggml|gguf|quantized|unsloth|text-to-image|en|arxiv:2511.22699|arxiv:2511.22677|arxiv:2511.13649|base_model:Tongyi-MAI/Z-Image-Turbo|base_model:quantized:Tongyi-MAI/Z-Image-Turbo|license:apache-2.0|region:us,True
leejet/Z-Image-Turbo-GGUF,text-to-image,48290,52,2025-12-02T12:31:06.000Z,gguf,license:apache-2.0,gguf|text-to-image|image-generation|stable-diffusion.cpp|z-image-turbo|z-image|en|zh|base_model:Tongyi-MAI/Z-Image-Turbo|base_model:quantized:Tongyi-MAI/Z-Image-Turbo|license:apache-2.0|region:us,False
InstantX/InstantID,text-to-image,48134,867,2024-01-22T09:43:05.000Z,diffusers,license:apache-2.0,diffusers|safetensors|text-to-image|en|arxiv:2401.07519|license:apache-2.0|region:us,True
vantagewithai/Krea-2-Turbo-GGUF,text-to-image,47235,84,2026-06-23T19:11:48.000Z,diffusers,license:other,diffusers|gguf|text-to-image|en|base_model:krea/Krea-2-Turbo|base_model:quantized:krea/Krea-2-Turbo|license:other|region:us,False
ideogram-ai/ideogram-4-fp8,text-to-image,46088,673,2026-06-03T18:34:44.000Z,diffusers,license:other,diffusers|safetensors|text-to-image|image-generation|diffusion|flow-matching|dit|ideogram|license:other|diffusers:Ideogram4Pipeline|region:us,False
