model,task,downloads,likes,last_modified,library,license,tags,arxiv
dima806/man_woman_face_image_detection,image-classification,160023,13,2024-10-27T17:33:08.000Z,transformers,license:apache-2.0,transformers|pytorch|safetensors|vit|image-classification|base_model:google/vit-base-patch16-224-in21k|base_model:finetune:google/vit-base-patch16-224-in21k|license:apache-2.0|endpoints_compatible|region:us,False
timm/swin_tiny_patch4_window7_224.ms_in1k,image-classification,150943,0,2025-01-21T21:18:13.000Z,timm,license:mit,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:2103.14030|license:mit|region:us,True
timm/convnext_base.clip_laion2b_augreg_ft_in12k_in1k,image-classification,149460,0,2025-01-21T21:37:45.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|dataset:laion-2b|arxiv:2210.08402|arxiv:2201.03545|arxiv:2103.00020|license:apache-2.0|region:us,True
Organika/sdxl-detector,image-classification,145939,57,2024-09-06T12:17:24.000Z,transformers,license:cc-by-nc-3.0,transformers|onnx|safetensors|swin|image-classification|autotrain|dataset:Colby/autotrain-data-sdxl-detection|license:cc-by-nc-3.0|endpoints_compatible|region:us,False
timm/vit_tiny_patch16_224.augreg_in21k_ft_in1k,image-classification,143117,4,2025-01-21T19:16:52.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|dataset:imagenet-21k|arxiv:2106.10270|arxiv:2010.11929|license:apache-2.0|region:us,True
timm/deit_tiny_patch16_224.fb_in1k,image-classification,137271,0,2025-01-21T21:36:46.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:2012.12877|license:apache-2.0|region:us,True
timm/tf_efficientnetv2_s.in21k,image-classification,137070,6,2025-01-21T18:20:43.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-21k|arxiv:2104.00298|license:apache-2.0|region:us,True
ISxOdin/vit-base-oxford-iiit-pets,image-classification,134706,1,2025-04-11T14:11:40.000Z,transformers,license:apache-2.0,transformers|tensorboard|safetensors|vit|image-classification|generated_from_trainer|zero-shot-image-classification|base_model:google/vit-base-patch16-224|base_model:finetune:google/vit-base-patch16-224|license:apache-2.0|endpoints_compatible|region:us,False
facebook/dinov2-giant-imagenet1k-1-layer,image-classification,128939,3,2023-09-16T10:14:37.000Z,transformers,license:apache-2.0,transformers|pytorch|safetensors|dinov2|image-classification|dino|vision|dataset:imagenet-1k|arxiv:2304.07193|license:apache-2.0|endpoints_compatible|deploy:azure|region:us,True
timm/convnext_small.in12k_ft_in1k,image-classification,124241,0,2025-01-21T21:16:28.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|dataset:imagenet-12k|arxiv:2201.03545|license:apache-2.0|region:us,True
timm/beitv2_base_patch16_224.in1k_ft_in22k,image-classification,122111,1,2025-01-21T19:17:37.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-22k|arxiv:2208.06366|arxiv:2010.11929|license:apache-2.0|region:us,True
timm/densenet121.ra_in1k,image-classification,121288,2,2025-01-21T18:04:42.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:2110.00476|arxiv:1608.06993|license:apache-2.0|region:us,True
timm/convnext_tiny.fb_in22k_ft_in1k,image-classification,120662,0,2025-01-21T21:14:53.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|dataset:imagenet-22k|arxiv:2201.03545|license:apache-2.0|region:us,True
rizvandwiki/gender-classification-2,image-classification,118566,39,2023-05-18T11:17:43.000Z,transformers,,transformers|pytorch|tensorboard|safetensors|vit|image-classification|huggingpics|model-index|endpoints_compatible|region:us,False
timm/tf_mobilenetv3_large_minimal_100.in1k,image-classification,116154,0,2025-01-21T18:21:25.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:1905.02244|license:apache-2.0|region:us,True
timm/swin_base_patch4_window12_384.ms_in22k_ft_in1k,image-classification,105815,0,2025-01-21T21:17:49.000Z,timm,license:mit,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|dataset:imagenet-22k|arxiv:2103.14030|license:mit|region:us,True
timm/wide_resnet101_2.tv_in1k,image-classification,100263,0,2025-01-21T21:46:04.000Z,timm,license:bsd-3-clause,timm|pytorch|safetensors|image-classification|transformers|arxiv:1605.07146|arxiv:1512.03385|license:bsd-3-clause|region:us,True
timm/vit_base_patch32_384.augreg_in21k_ft_in1k,image-classification,99698,0,2025-01-21T19:15:34.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|dataset:imagenet-21k|arxiv:2106.10270|arxiv:2010.11929|license:apache-2.0|region:us,True
timm/mobilenetv2_100.ra_in1k,image-classification,95724,4,2025-01-21T18:17:54.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:2110.00476|arxiv:1801.04381|license:apache-2.0|region:us,True
timm/resnet50d.ra2_in1k,image-classification,94974,0,2025-01-21T21:41:09.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|arxiv:2110.00476|arxiv:1512.03385|arxiv:1812.01187|license:apache-2.0|region:us,True
timm/tf_efficientnet_b0.ns_jft_in1k,image-classification,93396,3,2025-01-21T18:18:16.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:1905.11946|arxiv:1911.04252|license:apache-2.0|region:us,True
timm/densenet201.tv_in1k,image-classification,90458,0,2025-01-21T18:04:48.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:1608.06993|license:apache-2.0|region:us,True
timm/convnextv2_tiny.fcmae_ft_in22k_in1k,image-classification,88661,2,2025-01-21T21:16:17.000Z,timm,license:cc-by-nc-4.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:2301.00808|license:cc-by-nc-4.0|region:us,True
peft-internal-testing/tiny-random-ResNetForImageClassification,image-classification,88110,0,2025-11-17T13:45:05.000Z,transformers,,transformers|safetensors|resnet|image-classification|arxiv:1910.09700|endpoints_compatible|region:us,True
timm/deit_small_patch16_224.fb_in1k,image-classification,87588,0,2025-01-21T21:36:40.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:2012.12877|license:apache-2.0|region:us,True
timm/efficientnet_b4.ra2_in1k,image-classification,86959,0,2025-01-21T18:17:06.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:2110.00476|arxiv:1905.11946|license:apache-2.0|region:us,True
timm/vgg19.tv_in1k,image-classification,82093,6,2025-01-21T18:15:45.000Z,timm,license:bsd-3-clause,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:1409.1556|license:bsd-3-clause|region:us,True
timm/inception_resnet_v2.tf_in1k,image-classification,82086,0,2025-01-21T19:18:00.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:1602.07261|license:apache-2.0|region:us,True
timm/resnet18.fb_swsl_ig1b_ft_in1k,image-classification,80861,0,2025-01-21T21:39:03.000Z,timm,license:cc-by-nc-4.0,timm|pytorch|safetensors|image-classification|transformers|arxiv:1905.00546|arxiv:1512.03385|license:cc-by-nc-4.0|region:us,True
timm/inception_v4.tf_in1k,image-classification,77530,4,2025-01-21T19:17:50.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:1602.07261|license:apache-2.0|region:us,True
timm/deit_base_patch16_224.fb_in1k,image-classification,75411,0,2025-01-21T21:36:30.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:2012.12877|license:apache-2.0|region:us,True
timm/convnext_small.fb_in22k_ft_in1k,image-classification,74700,3,2025-01-21T21:14:44.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|dataset:imagenet-22k|arxiv:2201.03545|license:apache-2.0|region:us,True
facebook/convnextv2-tiny-22k-224,image-classification,74021,4,2025-02-17T18:43:28.000Z,transformers,license:apache-2.0,transformers|pytorch|tf|safetensors|convnextv2|image-classification|vision|dataset:imagenet-22k|arxiv:2301.00808|license:apache-2.0|endpoints_compatible|region:us,True
timm/test_resnet.r160_in1k,image-classification,71767,0,2025-01-21T21:58:18.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|license:apache-2.0|region:us,False
timm/convnext_small.fb_in22k_ft_in1k_384,image-classification,71349,1,2025-01-21T21:14:46.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|dataset:imagenet-22k|arxiv:2201.03545|license:apache-2.0|region:us,True
timm/tf_mobilenetv3_small_minimal_100.in1k,image-classification,68472,0,2025-01-21T18:21:31.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:1905.02244|license:apache-2.0|region:us,True
docling-project/DocumentFigureClassifier-v2.5,image-classification,67571,2,2026-04-01T07:41:07.000Z,onnx,license:mit,onnx|safetensors|efficientnet|image-classification|document-analysis|figure-classification|arxiv:2408.09869|base_model:google/efficientnet-b0|base_model:quantized:google/efficientnet-b0|license:mit|region:us,True
timm/hrnet_w18.ms_aug_in1k,image-classification,66774,3,2025-01-21T18:14:03.000Z,timm,license:mit,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:1908.07919|license:mit|region:us,True
nvidia/mit-b0,image-classification,65224,39,2023-11-15T07:49:03.000Z,transformers,license:other,transformers|pytorch|tf|segformer|image-classification|vision|dataset:imagenet_1k|arxiv:2105.15203|license:other|endpoints_compatible|deploy:azure|region:us,True
microsoft/resnet-18,image-classification,65187,78,2024-04-08T11:06:50.000Z,transformers,license:apache-2.0,transformers|pytorch|tf|safetensors|resnet|image-classification|vision|dataset:imagenet-1k|arxiv:1512.03385|license:apache-2.0|endpoints_compatible|deploy:azure|region:us,True
nateraw/vit-age-classifier,image-classification,64896,147,2024-07-28T23:24:56.000Z,transformers,,transformers|pytorch|safetensors|vit|image-classification|dataset:nateraw/fairface|doi:10.57967/hf/1259|endpoints_compatible|deploy:azure|region:us,False
timm/repvit_m1.dist_in1k,image-classification,64645,1,2025-01-21T21:11:05.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:2307.09283|license:apache-2.0|region:us,True
timm/regnety_032.ra_in1k,image-classification,63413,0,2025-01-21T21:21:22.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:2003.13678|license:apache-2.0|region:us,True
timm/convnext_base.fb_in22k_ft_in1k_384,image-classification,61519,0,2025-01-21T21:14:10.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|dataset:imagenet-22k|arxiv:2201.03545|license:apache-2.0|region:us,True
timm/levit_256.fb_dist_in1k,image-classification,61018,2,2025-07-29T15:27:52.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:2104.01136|license:apache-2.0|region:us,True
timm/maxvit_nano_rw_256.sw_in1k,image-classification,60711,0,2025-01-21T19:19:04.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:2204.01697|arxiv:2106.04803|license:apache-2.0|region:us,True
timm/convnext_tiny.in12k,image-classification,60595,0,2025-01-21T21:16:21.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-12k|arxiv:2201.03545|license:apache-2.0|region:us,True
google/mobilenet_v2_1.0_224,image-classification,59821,45,2023-10-31T13:40:16.000Z,transformers,license:other,transformers|pytorch|safetensors|mobilenet_v2|image-classification|vision|dataset:imagenet-1k|arxiv:1801.04381|license:other|endpoints_compatible|deploy:azure|region:us,True
timm/convnextv2_pico.fcmae_ft_in1k,image-classification,59637,1,2025-01-21T21:16:10.000Z,timm,license:cc-by-nc-4.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:2301.00808|license:cc-by-nc-4.0|region:us,True
timm/tf_efficientnet_b5.ns_jft_in1k,image-classification,59411,1,2025-01-21T18:19:00.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:1905.11946|arxiv:1911.04252|license:apache-2.0|region:us,True
timm/resnest50d.in1k,image-classification,59058,0,2025-01-21T18:05:35.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:2004.08955|license:apache-2.0|region:us,True
nvidia/mit-b2,image-classification,56910,7,2022-08-06T10:26:08.000Z,transformers,license:other,transformers|pytorch|tf|segformer|image-classification|vision|dataset:imagenet_1k|arxiv:2105.15203|license:other|endpoints_compatible|deploy:azure|region:us,True
timm/rexnet_150.nav_in1k,image-classification,56622,0,2025-01-21T21:18:51.000Z,timm,license:mit,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:2007.00992|license:mit|region:us,True
timm/resnet18.a3_in1k,image-classification,54574,0,2025-01-21T21:38:56.000Z,timm,license:apache-2.0,timm|pytorch|safetensors|image-classification|transformers|arxiv:2110.00476|arxiv:1512.03385|license:apache-2.0|region:us,True
timm/regnetx_002.pycls_in1k,image-classification,52053,0,2025-01-21T21:20:04.000Z,timm,license:mit,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:2003.13678|license:mit|region:us,True
timm/convnextv2_base.fcmae_ft_in22k_in1k,image-classification,51729,3,2025-01-21T21:15:32.000Z,timm,license:cc-by-nc-4.0,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:2301.00808|license:cc-by-nc-4.0|region:us,True
facebook/convnextv2-tiny-22k-384,image-classification,51654,5,2025-02-17T18:43:21.000Z,transformers,license:apache-2.0,transformers|pytorch|tf|safetensors|convnextv2|image-classification|vision|dataset:imagenet-22k|arxiv:2301.00808|license:apache-2.0|endpoints_compatible|region:us,True
capcheck/ai-image-detection,image-classification,49527,4,2025-12-06T03:52:02.000Z,safetensors,license:apache-2.0,safetensors|vit|image-classification|vision|ai-detection|deepfake-detection|dataset:CIFAKE|base_model:dima806/ai_vs_real_image_detection|base_model:finetune:dima806/ai_vs_real_image_detection|license:apache-2.0|region:us,False
smp-hub/resnet18.imagenet,image-classification,48196,0,2025-01-15T17:51:49.000Z,segmentation-models-pytorch,license:other,segmentation-models-pytorch|safetensors|image-classification|pytorch|resnet|license:other|region:us,False
